종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
20,동화약품 ,13900,-600,-4.14,1033,13.46,11860,1.17,180,1.29
40,KR모터스 ,983,-15,-1.5,,,396,2.48,0,0
50,경방 ,13700,-100,-0.72,499,27.45,27063,0.51,125,0.91
60,메리츠화재 ,28850,-850,-2.86,3856,7.48,22175,1.3,1280,4.44
70,삼양홀딩스 ,106000,-2000,-1.85,13218,8.02,171357,0.62,2250,2.12
75,삼양홀딩스우 ,70000,-100,-0.14,,,,,2300,3.29
80,하이트진로 ,33500,-700,-2.05,1246,26.89,15067,2.22,750,2.24
87,하이트진로2우B ,19900,-350,-1.73,,,,,800,4.02
100,유한양행 ,59100,-800,-1.34,2943,20.08,25880,2.28,400,0.68
105,유한양행우 ,58700,0,0,,,,,410,0.7
120,CJ대한통운 ,137500,-3000,-2.14,5683,24.19,146331,0.94,0,0
140,하이트진로홀딩스 ,13800,-300,-2.13,3014,4.58,20817,0.66,400,2.9
145,하이트진로홀딩스우 ,16200,-400,-2.41,,,,,450,2.78
150,두산 ,145500,7500,5.43,,,77507,1.88,2000,1.37
155,두산우 ,86500,1600,1.88,,,,,2050,2.37
157,두산2우B ,124500,-2500,-1.97,,,,,2000,1.61
180,성창기업지주 ,2480,-35,-1.39,78,31.79,7637,0.32,0,0
210,DL ,60900,-2900,-4.55,13077,4.66,67178,0.91,1300,2.13
215,DL우 ,38450,-550,-1.41,,,,,1350,3.51
220,유유제약 ,6950,-80,-1.14,84,82.74,6360,1.09,210,3.02
225,유유제약1우 ,9340,0,0,,,,,220,2.36
227,유유제약2우B ,19700,200,1.03,,,,,0,0
230,일동홀딩스 ,14300,450,3.25,,,10633,1.34,100,0.7
240,한국앤컴퍼니 ,16500,-600,-3.51,1848,8.93,36437,0.45,500,3.03
250,삼천당제약 ,44200,-1750,-3.81,,,8197,5.39,0,0
270,기아 ,84000,-200,-0.24,3710,22.64,73740,1.14,1000,1.19
300,대유플러스 ,1520,-45,-2.88,,,825,1.84,0,0
320,노루홀딩스 ,13100,100,0.77,1343,9.75,27547,0.48,450,3.44
325,노루홀딩스우 ,41550,-1250,-2.92,,,,,455,1.1
370,한화손해보험 ,4135,-55,-1.31,315,13.13,14390,0.29,0,0
390,삼화페인트 ,9750,-250,-2.5,294,33.16,10862,0.9,150,1.54
400,롯데손해보험 ,1810,-15,-0.82,,,3050,0.59,0,0
430,대원강업 ,3970,-25,-0.63,,,7487,0.53,100,2.52
440,중앙에너비스 ,16200,-600,-3.57,4144,3.91,9893,1.64,480,2.96
480,조선내화 ,88000,-300,-0.34,10421,8.44,154303,0.57,4200,4.77
